Ex.,Name,Ticker,QMV($),HQ Region,HQ Location,Sector,Sub Sector
TSX,Advantage Oil & Gas Ltd.,AAV,1798451563,Canada,AB,Oil & Gas,
TSX,Aecon Group Inc.,ARE,1076553468.7,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,AG Growth International Inc.,AFN,1025729398,Canada,MB,Diversified Industries,"Industrial Products and Services,Agriculture"
TSX,Agnico Eagle Mines Limited,AEM,12434628828,Canada,ON,Mining,
TSX,Agrium Inc.,AGU,18707567406,Canada,AB,Mining,Agriculture
TSX,Aimia Inc.,AIM,1444923385.05,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Air Canada,AC,3682820250,Canada,QC,Diversified Industries,Industrial Products and Services
TSX,Alamos Gold Inc.,AGI,2283231424,Canada,ON,Mining,
TSX,Algonquin Power & Utilities Corp.,AQN,3269779851,Canada,ON,Clean Technology,Renewable Energy Production and Distribution
TSX,Alimentation Couche-Tard Inc.,ATD.B,35352195454,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Allied Properties Real Estate Investment Trust,AP.UN,2871026223,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,AltaGas Ltd.,ALA,6277097777.6,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Altus Group Limited,AIF,1149881616,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,Amaya Inc.,AYA,2841915269,Canada,QC,Technology,Software
TSX,ARC Resources Ltd.,ARX,8296625998,Canada,AB,Oil & Gas,
TSX,Artis Real Estate Investment Trust,AX.UN,2102375205,Canada,MB,Real Estate,Diversified
TSX,Atco Ltd.,ACO.X,4905533105.4,Canada,AB,Utilities & Pipelines,
TSX,B2Gold Corp.,BTO,3106164864,Canada,BC,Mining,
TSX,Badger Daylighting Ltd.,BAD,1159396281,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Bank of Montreal,BMO,60044487297.75,Canada,ON,Financial Services,
TSX,Bank of Nova Scotia (The),BNS,93062755870.04,Canada,ON,Financial Services,
TSX,Barrick Gold Corporation,ABX,23483433441,Canada,ON,Mining,
TSX,Baytex Energy Corp.,BTE,1213717087,Canada,AB,Oil & Gas,
TSX,BCE Inc.,BCE,52824989207.7,Canada,QC,Comm & Media,
TSX,Birchcliff Energy Ltd.,BIR,2488189637,Canada,AB,Oil & Gas,
TSX,BlackBerry Limited,BB,5446127187,Canada,ON,Technology,Communication Technology
TSX,BMO Aggregate Bond Index ETF,ZAG,2123614296,Canada,ON,ETP,
TSX,BMO Covered Call Canadian Banks ETF,ZWB,1235100000,Canada,ON,ETP,
TSX,BMO High Yield US Corporate Bond Hedged to CAD Index ETF,ZHY,1146923861,Canada,ON,ETP,
TSX,BMO Laddered Preferred Share Index ETF,ZPR,1408351527,Canada,ON,ETP,
TSX,BMO Low Volatility Canadian Equity ETF,ZLB,1331372000,Canada,ON,ETP,
TSX,BMO Mid Corporate Bond Index ETF,ZCM,1163801762,Canada,ON,ETP,
TSX,BMO Mid-Term US IG Corporate Bond Index ETF,ZIC,1169816454,Canada,ON,ETP,
TSX,BMO MSCI EAFE Index ETF,ZEA,1071666093,Canada,ON,ETP,
TSX,BMO S&P 500 Hedged to CAD Index ETF,ZUE,1091851518,Canada,ON,ETP,
TSX,BMO S&P 500 Index ETF,ZSP,2968074661,Canada,ON,ETP,
TSX,BMO S&P/TSX Capped Composite Index ETF,ZCN,1679923955,Canada,ON,ETP,
TSX,BMO Short Corporate Bond Index ETF,ZCS,1337224216,Canada,ON,ETP,
TSX,BMO US Dividend ETF,ZDY,1243845258,Canada,ON,ETP,
TSX,Boardwalk Real Estate Investment Trust,BEI.UN,2054399943,Canada,AB,Real Estate,Industrial/Office/Retail/Residential
TSX,Bombardier Inc.,BBD.B,4531289525.13,Canada,QC,Diversified Industries,Industrial Products and Services
TSX,Bonavista Energy Corporation,BNP,1119045376,Canada,AB,Oil & Gas,
TSX,Boralex Inc.,BLX,1297418721,Canada,QC,Clean Technology,Renewable Energy Production and Distribution
TSX,Boyd Group Income Fund,BYD.UN,1648835639,Canada,MB,Diversified Industries,Industrial Products and Services
TSX,Brookfield Asset Management Inc.,BAM.A,47593299817.25,Canada,ON,Financial Services,
TSX,Brookfield Business Partners L.P.,BBU.UN,1553000455,Other,Bermuda,Real Estate,Real Estate Operating Companies
TSX,Brookfield Infrastructure Partners L.P.,BIP.UN,10853421745,Other,Bermuda,Diversified Industries,Industrial Products and Services
TSX,Brookfield Office Properties Inc.,BPO.PR.A,1767753299.77,USA,USA,Real Estate,Industrial/Office/Retail/Residential
TSX,Brookfield Property Partners L.P.,BPY.UN,7425792455,Other,Bermuda,Real Estate,Industrial/Office/Retail/Residential
TSX,Brookfield Renewable Partners L.P.,BEP.UN,6953058782.4,Canada,QC,Clean Technology,Renewable Energy Production and Distribution
TSX,CAE Inc.,CAE,5319012655,Canada,QC,Technology,Software
TSX,Cameco Corporation,CCO,4891995572,Canada,SK,Mining,
TSX,Canadian Apartment Properties Real Estate Investment Trust,CAR.UN,4130616267,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,Canadian Energy Services & Technology Corp.,CEU,1829140635,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Canadian Imperial Bank Of Commerce,CM,42867931080,Canada,ON,Financial Services,
TSX,Canadian National Railway Company,CNR,68886945440,Canada,QC,Diversified Industries,Industrial Products and Services
TSX,Canadian Natural Resources Limited,CNQ,50119990457,Canada,AB,Oil & Gas,
TSX,Canadian Pacific Railway Limited,CP,30076672234,Canada,AB,Diversified Industries,Industrial Products and Services
TSX,Canadian Real Estate Investment Trust,REF.UN,3316957924,Canada,ON,Real Estate,Diversified
TSX,Canadian Tire Corporation Limited,CTC.A,10182143231,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Canadian Utilities Limited,CU,10737318972,Canada,AB,Utilities & Pipelines,
TSX,Canadian Western Bank,CWB,2810374979,Canada,AB,Financial Services,
TSX,Canfor Corporation,CFP,1950898737,Canada,BC,Forest Products & Paper,
TSX,Canoe EIT Income Fund,EIT.UN,1119376794,Canada,AB,Closed-End Funds,
TSX,Canopy Growth Corporation,CGC,1371364022,Canada,ON,Life Sciences,Medical Marijuana
TSX,Capital Power Corporation,CPX,2748583232,Canada,AB,Utilities & Pipelines,
TSX,Cascades Inc.,CAS,1104784866,Canada,QC,Clean Technology,Low Impact Material and Products
TSX,CCL Industries Inc.,CCL.B,8230935790,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,Celestica Inc.,CLS,1985750059,Canada,ON,Technology,Hardware & Equipment
TSX,Cenovus Energy Inc.,CVE,17305451655,Canada,AB,Oil & Gas,
TSX,Centamin plc,CEE,2511595405,UK/Europe,UK,Mining,
TSX,Centerra Gold Inc.,CG,2020958140,Canada,ON,Mining,
TSX,Central Fund of Canada Limited,CEF.A,3999904245,Canada,AB,Closed-End Funds,
TSX,CGI Group Inc.,GIB.A,17313654280,Canada,QC,Technology,IT Consulting & Services
TSX,Chartwell Retirement Residences,CSH.UN,2780826297,Canada,ON,Real Estate,Specialized
TSX,Chemtrade Logistics Income Fund,CHE.UN,1611675418.9,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,China Gold International Resources Corp. Ltd.,CGG,1094101958,Asia,China,Mining,
TSX,Choice Properties Real Estate Investment Trust,CHP.UN,1197753375,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,CI Financial Corp.,CIX,7128355539,Canada,ON,Financial Services,
TSX,Cineplex Inc.,CGX,3307386305,Canada,ON,Comm & Media,
TSX,CNOOC Limited,CNU,1721790143,Asia,Hong Kong,Oil & Gas,
TSX,Cogeco Communications Inc.,CCA,2173627072,Canada,QC,Comm & Media,
TSX,Colliers International Group Inc.,CIGI,1772087940,Canada,ON,Real Estate,Real Estate Operating Companies
TSX,Cominar Real Estate Investment Trust,CUF.UN,2537980620,Canada,QC,Real Estate,Diversified
TSX,Constellation Software Inc.,CSU,13608292366.3,Canada,ON,Technology,Software
TSX,Corus Entertainment Inc.,CJR.B,2364627925,Canada,ON,Comm & Media,
TSX,Cott Corporation,BCB,2112540442,USA,USA,Diversified Industries,Consumer Products and Services
TSX,Crescent Point Energy Corp.,CPG,9257592237,Canada,AB,Oil & Gas,
TSX,Crew Energy Inc.,CR,1069576619,Canada,AB,Oil & Gas,
TSX,Crombie Real Estate Investment Trust,CRR.UN,1346183963,Canada,NS,Real Estate,Diversified
TSX,CT Real Estate Investment Trust,CRT.UN,1365685585,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,Descartes Systems Group Inc. (The),DSG,2261671344,Canada,ON,Technology,Software
TSX,Detour Gold Corporation,DGC,2988718590,Canada,ON,Mining,
TSX,DH Corporation,DH,2465594019,Canada,ON,Technology,IT Consulting & Services
TSX,Dollarama Inc.,DOL,11725937350,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Dominion Diamond Corporation,DDC,1073896031,Canada,ON,Mining,
TSX,Domtar Corporation,UFS,3426208192,Canada,QC,Forest Products & Paper,
TSX,Dorel Industries Inc.,DII.B,1313770192.4,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Dream Global Real Estate Investment Trust,DRG.UN,1149380633,Canada,ON,Real Estate,Diversified
TSX,Dream Office Real Estate Investment Trust,D.UN,1964925179,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,E-L Financial Corporation Limited,ELF,3125302754,Canada,ON,Financial Services,
TSX,ECN Capital Corp.,ECN,1168002540,Canada,ON,Financial Services,
TSX,Eldorado Gold Corporation,ELD,2651372396,Canada,BC,Mining,
TSX,Element Fleet Management Corp.,EFN,5839287758,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Emera Incorporated,EMA,9596282082.04,Canada,NS,Utilities & Pipelines,
TSX,Empire Company Limited,EMP.A,3165331314,Canada,NS,Diversified Industries,Consumer Products and Services
TSX,Enbridge Inc.,ENB,58413570661,Canada,AB,Utilities & Pipelines,
TSX,Enbridge Income Fund Holdings Inc.,ENF,4231324742,Canada,AB,Utilities & Pipelines,
TSX,Encana Corporation,ECA,16413849674,Canada,AB,Oil & Gas,
TSX,Endeavour Mining Corporation,EDV,1889016265,Other,Cayman Islands,Mining,
TSX,Endo International plc,ENDP,4733911409,UK/Europe,Ireland,Life Sciences,Pharmaceuticals
TSX,EnerCare Inc.,ECI,1892001034.5,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Enerflex Ltd.,EFX,1504337016,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Enerplus Corporation,ERF,2794411635,Canada,AB,Oil & Gas,
TSX,Enghouse Systems Limited,ENGH,1422571081,Canada,ON,Technology,Software
TSX,Ensign Energy Services Inc.,ESI,1406622613,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Equitable Group Inc.,EQB,1017243183.3,Canada,ON,Financial Services,
TSX,Evertz Technologies Limited,ET,1225504792,Canada,ON,Technology,Communication Technology
TSX,Exchange Income Corporation,EIF,1474008854.6,Canada,MB,Financial Services,
TSX,Extendicare Inc.,EXE,1000526319.7,Canada,ON,Real Estate,Specialized
TSX,Fairfax Financial Holdings Limited,FFH,15791586221.62,Canada,ON,Financial Services,
TSX,Finning International Inc.,FTT,4549715105,Canada,BC,Diversified Industries,Industrial Products and Services
TSX,First Capital Realty Inc.,FCR,5165734097.7,Canada,ON,Real Estate,Diversified
TSX,First Majestic Silver Corp.,FR,1957265163,Canada,BC,Mining,
TSX,First National Financial Corporation,FN,1647675349.48,Canada,ON,Financial Services,
TSX,First Quantum Minerals Ltd.,FM,10580576901,Canada,BC,Mining,
TSX,FirstService Corporation,FSV,2021911281,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,Fortis Inc.,FTS,17243835007,Canada,NL,Utilities & Pipelines,
TSX,Fortuna Silver Mines Inc.,FVI,1184151561,Latin America,Peru,Mining,
TSX,Franco-Nevada Corporation,FNV,13908724681,Canada,ON,Mining,
TSX,Freehold Royalties Ltd.,FRU,1572118280,Canada,AB,Oil & Gas,
TSX,Gazit-Globe Ltd.,GZT,2368540409,Other,Israel,Real Estate,Industrial/Office/Retail/Residential
TSX,General Motors Company,GMM.U,52954728757,USA,USA,Diversified Industries,Consumer Products and Services
TSX,Genworth MI Canada Inc.,MIC,3000873447,Canada,ON,Financial Services,
TSX,George Weston Limited,WN,15101710392,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Gibson Energy Inc.,GEI,2693551781,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Gildan Activewear Inc.,GIL,8465790017,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Goldcorp Inc.,G,15135398059,Canada,BC,Mining,
TSX,Gran Tierra Energy Inc.,GTE,1500006551,Canada,AB,Oil & Gas,
TSX,Granite Real Estate Investment Trust,GRT.UN,2053795252,Canada,ON,Real Estate,Real Estate Operating Companies
TSX,Great Canadian Gaming Corporation,GC,1448854934,Canada,BC,Diversified Industries,Consumer Products and Services
TSX,Great-West Lifeco Inc.,GWO,37161732986,Canada,MB,Financial Services,
TSX,H&R Real Estate Investment Trust,HR.UN,6456698058,Canada,ON,Real Estate,Diversified
TSX,Home Capital Group Inc.,HCG,1917004463,Canada,ON,Financial Services,
TSX,HudBay Minerals Inc.,HBM,2140259093,Canada,ON,Mining,
TSX,Hudson's Bay Company,HBC,2691109774,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Husky Energy Inc.,HSE,16515161656.5,Canada,AB,Oil & Gas,
TSX,Hydro One Limited,H,13732600000,Canada,ON,Utilities & Pipelines,
TSX,IAMGold Corporation,IMG,2217265896,Canada,ON,Mining,
TSX,IGM Financial Inc.,IGM,9507635810,Canada,MB,Financial Services,
TSX,Imperial Oil Limited,IMO,38981078516,Canada,AB,Oil & Gas,
TSX,Industrial Alliance Insurance and Financial Services Inc.,IAG,6172941519,Canada,QC,Financial Services,
TSX,Innergex Renewable Energy Inc.,INE,1687540522,Canada,QC,Clean Technology,Renewable Energy Production and Distribution
TSX,Intact Financial Corporation,IFC,12619636980.3,Canada,ON,Financial Services,
TSX,Inter Pipeline Ltd.,IPL,9819678912,Canada,AB,Utilities & Pipelines,
TSX,Interfor Corporation,IFP,1044154084,Canada,BC,Forest Products & Paper,
TSX,Intertape Polymer Group Inc.,ITP,1447366868,Canada,QC,Diversified Industries,Industrial Products and Services
TSX,iShares 1-5 Year Laddered Corporate Bond Index ETF,CBO,2057986000,Canada,ON,ETP,
TSX,iShares 1-5 Year Laddered Government Bond Index ETF,CLF,1046274000,Canada,ON,ETP,
TSX,iShares Canadian Corporate Bond Index ETF,XCB,1633878000,Canada,ON,ETP,
TSX,iShares Canadian Select Dividend Index ETF,XDV,1475936000,Canada,ON,ETP,
TSX,iShares Canadian Short Term Bond Index ETF,XSB,2346876000,Canada,ON,ETP,
TSX,iShares Canadian Universe Bond Index ETF,XBB,2162460000,Canada,ON,ETP,
TSX,iShares Core S&P 500 Index ETF (CAD-Hedged),XSP,3742296000,Canada,ON,ETP,
TSX,iShares Core S&P/TSX Capped Composite Index ETF,XIC,2671372000,Canada,ON,ETP,
TSX,iShares MSCI EAFE Index ETF (CAD-Hedged),XIN,1233592000,Canada,ON,ETP,
TSX,iShares S&P/TSX 60 Index ETF,XIU,12620200000,Canada,ON,ETP,
TSX,iShares S&P/TSX Canadian Dividend Aristocrats Index ETF,CDZ,1041669250,Canada,ON,ETP,
TSX,iShares S&P/TSX Canadian Preferred Share Index ETF,CPD,1242345750,Canada,ON,ETP,
TSX,iShares S&P/TSX Capped Energy Index ETF,XEG,1135400000,Canada,ON,ETP,
TSX,iShares S&P/TSX Capped Financials Index ETF,XFN,1103172000,Canada,ON,ETP,
TSX,iShares S&P/TSX Capped REIT Index ETF,XRE,1330758000,Canada,ON,ETP,
TSX,Ivanhoe Mines Ltd.,IVN,1838728645,Canada,BC,Mining,
TSX,Jean Coutu Group (PJC) Inc. (The),PJC.A,1676208190,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Just Energy Group Inc.,JE,1442991660,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Kelt Exploration Ltd.,KEL,1249937996,Canada,AB,Oil & Gas,
TSX,Keyera Corp.,KEY,7139397108,Canada,AB,Utilities & Pipelines,
TSX,Kinaxis Inc.,KXS,1539735561,Canada,ON,Technology,Internet Software & Services
TSX,Kinross Gold Corporation,K,5527840959,Canada,ON,Mining,
TSX,Knight Therapeutics Inc.,GUD,1370836834,Canada,QC,Life Sciences,Biotechnology
TSX,Labrador Iron Ore Royalty Corporation,LIF,1116160000,Canada,ON,Financial Services,
TSX,Laurentian Bank Of Canada,LB,2126985656,Canada,QC,Financial Services,
TSX,Leon's Furniture Limited,LNF,1395232385,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Linamar Corporation,LNR,3373511433,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Loblaw Companies Limited,L,28392131684,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Lucara Diamond Corp.,LUC,1244508514,Canada,BC,Mining,
TSX,Lundin Mining Corporation,LUN,4745899588,Canada,ON,Mining,
TSX,"MacDonald, Dettwiler and Associates Ltd.",MDA,2555032449,Canada,BC,Technology,Software
TSX,MAG Silver Corp.,MAG,1343585884,Canada,BC,Mining,
TSX,Magellan Aerospace Corporation,MAL,1112956099,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,Magna International Inc.,MG,20865735881,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Manitoba Telecom Services Inc.,MBT,2773571942,Canada,MB,Comm & Media,
TSX,Manulife Financial Corporation,MFC,49238201921.89,Canada,ON,Financial Services,
TSX,Maple Leaf Foods Inc.,MFI,3941792764,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,McEwen Mining Inc.,MUX,1144196295,Canada,ON,Mining,
TSX,MEG Energy Corp.,MEG,1537358610,Canada,AB,Oil & Gas,
TSX,Methanex Corporation,MX,5310742501,Canada,BC,Diversified Industries,Industrial Products and Services
TSX,Metro Inc.,MRU,9515881023,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Milestone Apartments Real Estate Investment Trust,MST.UN,1460676843,USA,USA,Real Estate,Industrial/Office/Retail/Residential
TSX,Mitel Networks Corporation,MNW,1178642445,Canada,ON,Technology,Communication Technology
TSX,Molson Coors Canada Inc.,TPX.B,2416179180,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Morguard Corporation,MRC,2065015180,Canada,ON,Real Estate,Diversified
TSX,Morguard Real Estate Investment Trust,MRT.UN,1009306302.4,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,Morneau Shepell Inc.,MSI,1093242359,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,Mountain Province Diamonds Inc.,MPV,1065924916,Canada,ON,Mining,
TSX,MTY Food Group Inc.,MTY,1072144770,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Mullen Group Ltd.,MTL,1859558429,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,National Bank of Canada,NA,18529824411,Canada,QC,Financial Services,
TSX,Nevsun Resources Ltd.,NSU,1297438106,Canada,BC,Mining,
TSX,New Flyer Industries Inc.,NFI,2630581761.6,Canada,MB,Clean Technology,Energy Efficiency
TSX,New Gold Inc.,NGD,2458077474,Canada,BC,Mining,
TSX,Norbord Inc.,OSB,2878542585,Canada,ON,Forest Products & Paper,
TSX,North West Company Inc.,NWC,1215398445,Canada,MB,Diversified Industries,Consumer Products and Services
TSX,Northland Power Inc.,NPI,4182837302.85,Canada,ON,Clean Technology,Renewable Energy Production and Distribution
TSX,Novagold Resources Inc.,NG,1971297383,Canada,BC,Mining,
TSX,NuVista Energy Ltd.,NVA,1203962520,Canada,AB,Oil & Gas,
TSX,OceanaGold Corporation,OGC,2279121758,Australia/NZ/PNG,Australia,Mining,
TSX,ONEX Corporation,ONEX,9690817568,Canada,ON,Financial Services,
TSX,Open Text Corporation,OTC,10402799209,Canada,ON,Technology,Software
TSX,Osisko Gold Royalties Ltd.,OR,1403208701,Canada,QC,Mining,
TSX,Pacific Exploration & Production Corporation,PEN,2642634080,Latin America,Colombia,Oil & Gas,
TSX,Pan American Silver Corp.,PAA,3445203669,Canada,BC,Mining,
TSX,Paramount Resources Ltd.,POU,1845493773,Canada,AB,Oil & Gas,
TSX,Parex Resources Inc.,PXT,2678192370,Canada,AB,Oil & Gas,
TSX,Parkland Fuel Corporation,PKI,2675304914,Canada,AB,Diversified Industries,Industrial Products and Services
TSX,Pason Systems Inc.,PSI,1344941740,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Pattern Energy Group Inc.,PEG,2307497726,USA,USA,Clean Technology,Renewable Energy Production and Distribution
TSX,Pembina Pipeline Corporation,PPL,17123015384.5,Canada,AB,Utilities & Pipelines,
TSX,Pengrowth Energy Corporation,PGF,1246191259,Canada,AB,Oil & Gas,
TSX,Penn West Petroleum Ltd.,PWT,1176073208,Canada,AB,Oil & Gas,
TSX,Peyto Exploration & Development Corp.,PEY,5442673354,Canada,AB,Oil & Gas,
TSX,Potash Corporation of Saskatchewan Inc.,POT,20571265113,Canada,SK,Mining,Agriculture
TSX,Power Corporation Of Canada,POW,14824215332,Canada,QC,Financial Services,
TSX,Power Financial Corporation,PWF,26493100848.8,Canada,QC,Financial Services,
TSX,PrairieSky Royalty Ltd.,PSK,7484343273,Canada,AB,Oil & Gas,
TSX,Precision Drilling Corporation,PD,2087860669,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Premium Brands Holdings Corporation,PBH,2299869380,Canada,BC,Diversified Industries,Consumer Products and Services
TSX,Pretium Resources Inc.,PVG,2108840537,Canada,BC,Mining,
TSX,ProMetic Life Sciences Inc.,PLI,1507966486,Canada,QC,Life Sciences,Biotechnology
TSX,Pure Industrial Real Estate Trust,AAR.UN,1293487026,Canada,BC,Real Estate,Industrial/Office/Retail/Residential
TSX,Quebecor Inc.,QBR.B,4463594976,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Raging River Exploration Inc.,RRX,2456818207,Canada,AB,Oil & Gas,
TSX,Restaurant Brands International Inc.,QSR,14976059368,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Restaurant Brands International Limited Partnership,QSP.UN,14531170112,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Richelieu Hardware Ltd.,RCH,1560501104,Canada,QC,Diversified Industries,Industrial Products and Services
TSX,Riocan Real Estate Investment Trust,REI.UN,8853884898,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,Ritchie Bros. Auctioneers Incorporated,RBA,5462002688,Canada,BC,Diversified Industries,Industrial Products and Services
TSX,Rogers Communications Inc.,RCI.B,26898402795,Canada,ON,Comm & Media,
TSX,Royal Bank of Canada,RY,135600090883.2,Canada,ON,Financial Services,
TSX,Russel Metals Inc.,RUS,1595037026,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,Saputo Inc.,SAP,17821229746,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Secure Energy Services Inc.,SES,1526858747,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Semafo Inc.,SMF,1328597547,Canada,QC,Mining,
TSX,Seven Generations Energy Ltd.,VII,10708593123,Canada,AB,Oil & Gas,
TSX,Shaw Communications Inc.,SJR.B,12400776245.3,Canada,AB,Comm & Media,
TSX,ShawCor Ltd.,SCL,2134552718,Canada,ON,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Shopify Inc.,SHOP,4285034538,Canada,ON,Technology,Internet Software & Services
TSX,Silver Standard Resources Inc.,SSO,1586849856,Canada,BC,Mining,
TSX,Silver Wheaton Corp.,SLW,10784005144,Canada,BC,Mining,
TSX,Sleep Country Canada Holdings Inc.,ZZZ,1107614428,Canada,ON,Diversified Industries,Consumer Products and Services
TSX,Smart Real Estate Investment Trust,SRU.UN,4041629088,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,SNC-Lavalin Group Inc.,SNC,8554472705,Canada,QC,Diversified Industries,Industrial Products and Services
TSX,Spartan Energy Corp.,SPE,1131183729,Canada,AB,Oil & Gas,
TSX,Sprott Physical Gold Trust,PHY.U,2072535365,Canada,ON,Closed-End Funds,
TSX,Stantec Inc.,STN,4084936746,Canada,AB,Diversified Industries,"Industrial Products and Services,Agriculture"
TSX,Stella-Jones Inc.,SJ,3126222163,Canada,QC,Forest Products & Paper,
TSX,Sun Life Financial Inc.,SLF,33485882517.3,Canada,ON,Financial Services,
TSX,Suncor Energy Inc.,SU,71234213829,Canada,AB,Oil & Gas,
TSX,Superior Plus Corp.,SPB,1813538840,Canada,AB,Utilities & Pipelines,
TSX,Tahoe Resources Inc.,THO,4015885091,Canada,BC,Mining,
TSX,Teck Resources Limited,TCK.B,19607564045.2,Canada,BC,Mining,
TSX,TELUS Corporation,T,24814372104,Canada,BC,Comm & Media,
TSX,Thomson Reuters Corporation,TRI,42684632999,Canada,ON,Comm & Media,
TSX,TMAC Resources Inc.,TMR,1294572661,Canada,ON,Mining,
TSX,TMX Group Limited,X,3718953130,Canada,ON,Financial Services,
TSX,TORC Oil & Gas Ltd.,TOG,1535396754,Canada,AB,Oil & Gas,
TSX,Torex Gold Resources Inc.,TXG,1602505306,Canada,ON,Mining,
TSX,Toromont Industries Ltd.,TIH,3448197942,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,Toronto-Dominion Bank (The),TD,122067676133.1,Canada,ON,Financial Services,
TSX,Tourmaline Oil Corp.,TOU,8794629509,Canada,AB,Oil & Gas,
TSX,TransAlta Corporation,TA,2676220971.4,Canada,AB,Utilities & Pipelines,
TSX,TransAlta Renewables Inc.,RNW,3077296072,Canada,AB,Clean Technology,Renewable Energy Production and Distribution
TSX,TransCanada Corporation,TRP,55280043659.35,Canada,AB,Utilities & Pipelines,
TSX,Transcontinental Inc.,TCL.A,1433212780,Canada,QC,Comm & Media,
TSX,TransForce Inc.,TFI,3122814214,Canada,QC,Diversified Industries,Industrial Products and Services
TSX,Tricon Capital Group Inc.,TCN,1189023940.8,Canada,ON,Financial Services,
TSX,Turquoise Hill Resources Ltd.,TRQ,9035291966,Canada,BC,Mining,
TSX,Uni-Select Inc.,UNS,1279511735,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,United Corporations Limited,UNC,1184180616.5,Canada,ON,Financial Services,
TSX,Valeant Pharmaceuticals International Inc.,VRX,7246896564,Canada,QC,Life Sciences,Pharmaceuticals
TSX,Vanguard Canadian Aggregate Bond Index ETF,VAB,1102498000,Canada,ON,ETP,
TSX,Veresen Inc.,VSN,4298400071,Canada,AB,Utilities & Pipelines,
TSX,Vermilion Energy Inc.,VET,6413069066,Canada,AB,Oil & Gas,
TSX,"Waste Connections, Inc.",WCN,17995217237,USA,USA,Diversified Industries,Industrial Products and Services
TSX,West Fraser Timber Co. Ltd.,WFT,3652617759,Canada,BC,Forest Products & Paper,
TSX,WestJet Airlines Ltd.,WJA,2503869290,Canada,AB,Diversified Industries,Industrial Products and Services
TSX,Westshore Terminals Investment Corporation,WTE,2037583990,Canada,BC,Diversified Industries,Industrial Products and Services
TSX,Whitecap Resources Inc.,WCP,4408514001,Canada,AB,Oil & Gas,
TSX,Winpak Ltd.,WPK,3043950000,Canada,MB,Forest Products & Paper,
TSX,WSP Global Inc.,WSP,4828307255,Canada,QC,Diversified Industries,Industrial Products and Services
TSX,Yamana Gold Inc.,YRI,3799873582,Canada,ON,Mining,
